lens,center_global_sec,n_speakers_echo_window,n_edges_echo_window,n_cross_edges_echo_window,proposal_in_window,commit_in_window,is_signature,why_signature,context_±25s
Blocks,870.0,2,30,20,False,True,0,no_proposal,"[845.0s] Yevgenia Kozorovitskiy: Yeah. I'm mid bite, so this is perfect. Uh, my name is Genia or Yevgenia Kozorovitskiy and I am at Northwestern University and we're interested in optical fluorescence imaging, which we do with uh primarily with light sheet using single objective based approaches. Um, we also do some two photon uh image basic point scanning imaging and also photolysis of chemical probes. Um, and I think, you know, in my field deep tissue typically means one of three things. One is, you know, throw more more photons at it and get deeper. Um, two is you are in a light sheet type uh context then, you know, do some uh holography for shaping of beams. Uh, or use some penetrative probes, uh, which for many pre-clinical applications are possible and there it begins to be more about optimizing those so that you get the most amount of information for the least amount of um tissue damage. | [855.0s] Luke Mortensen: I was talking with uh Anaruda and Jazz yesterday about something kind of related to this, you know, if you have some sort of like some carrier or something, you can have multi component um where they're like, you know, permanently colocalized um reporters where you can, you know, perhaps use your photoacoustic imaging to be able to identify a location of interest and then have some kind of fluorescent tag associated with it as well. maybe even one that, you know, could allow you to do single molecule or whatever, you know, whatever else. | [856.0s] Yevgenia Kozorovitskiy: that you have a decrease in fluorescence rather than an increase in fluorescence in response to some event that you're detecting. That's of course not great because the probes are also bleaching. And so kind of would much rather quantify an increase in fluorescence. | [865.0s] Sixian You: Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key. | [870.0s] Yevgenia Kozorovitskiy"
Blocks,878.0,3,44,33,False,True,0,no_proposal,"[855.0s] Luke Mortensen: I was talking with uh Anaruda and Jazz yesterday about something kind of related to this, you know, if you have some sort of like some carrier or something, you can have multi component um where they're like, you know, permanently colocalized um reporters where you can, you know, perhaps use your photoacoustic imaging to be able to identify a location of interest and then have some kind of fluorescent tag associated with it as well. maybe even one that, you know, could allow you to do single molecule or whatever, you know, whatever else. | [856.0s] Yevgenia Kozorovitskiy: that you have a decrease in fluorescence rather than an increase in fluorescence in response to some event that you're detecting. That's of course not great because the probes are also bleaching. And so kind of would much rather quantify an increase in fluorescence. | [865.0s] Sixian You: Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key. | [870.0s] Yevgenia Kozorovitskiy: Yeah, and also they they're just very dim. So brighter probes kind of captures that, but there's additional engineering to do. Uh, and then also I guess occupying more parts of uh excitation emission spectrum. | [874.0s] Brad Smith: Okay. | [875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Brad Smith: Yeah, yeah, please. | [880.0s] Carolyn Bayer: Um "
Blocks,881.0,3,44,33,False,True,0,no_proposal,"[856.0s] Yevgenia Kozorovitskiy: that you have a decrease in fluorescence rather than an increase in fluorescence in response to some event that you're detecting. That's of course not great because the probes are also bleaching. And so kind of would much rather quantify an increase in fluorescence. | [865.0s] Sixian You: Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key. | [870.0s] Yevgenia Kozorovitskiy: Yeah, and also they they're just very dim. So brighter probes kind of captures that, but there's additional engineering to do. Uh, and then also I guess occupying more parts of uh excitation emission spectrum. | [874.0s] Brad Smith: Okay. | [875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Brad Smith: Yeah, yeah, please. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure"
Blocks,883.0,3,44,33,False,True,0,no_proposal,"[865.0s] Sixian You: Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key. | [870.0s] Yevgenia Kozorovitskiy: Yeah, and also they they're just very dim. So brighter probes kind of captures that, but there's additional engineering to do. Uh, and then also I guess occupying more parts of uh excitation emission spectrum. | [874.0s] Brad Smith: Okay. | [875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Brad Smith: Yeah, yeah, please. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time. So whenever you're exposed to light, they are generating tiny bit of acoustic signal, "
Blocks,884.0,2,30,24,False,True,0,no_proposal,"[865.0s] Sixian You: Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key. | [870.0s] Yevgenia Kozorovitskiy: Yeah, and also they they're just very dim. So brighter probes kind of captures that, but there's additional engineering to do. Uh, and then also I guess occupying more parts of uh excitation emission spectrum. | [874.0s] Brad Smith: Okay. | [875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Brad Smith: Yeah, yeah, please. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time. So whenever you're exposed to light, they are generating tiny bit of acoustic signal, "
Blocks,889.0,2,30,24,False,True,0,no_proposal,"[865.0s] Sixian You: Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key. | [870.0s] Yevgenia Kozorovitskiy: Yeah, and also they they're just very dim. So brighter probes kind of captures that, but there's additional engineering to do. Uh, and then also I guess occupying more parts of uh excitation emission spectrum. | [874.0s] Brad Smith: Okay. | [875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Brad Smith: Yeah, yeah, please. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time. So whenever you're exposed to light, they are generating tiny bit of acoustic signal, "
Blocks,895.0,2,43,37,False,True,0,no_proposal,"[870.0s] Yevgenia Kozorovitskiy: Yeah, and also they they're just very dim. So brighter probes kind of captures that, but there's additional engineering to do. Uh, and then also I guess occupying more parts of uh excitation emission spectrum. | [874.0s] Brad Smith: Okay. | [875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [880.0s] Brad Smith: Yeah, yeah, please. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time. So whenever you're exposed to light, they are generating tiny bit of acoustic signal, so it's almost like talking. | [886.0s] Luke Mortensen: going to do. | [887.0s] Luke Mortensen: Um, that seems like it could be like a cool way to that. | [889.0s] Luke Mortensen: I mean"
Blocks,898.0,1,30,29,False,True,0,speakers<2;no_proposal,"[874.0s] Brad Smith: Okay. | [875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [880.0s] Brad Smith: Yeah, yeah, please. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time. So whenever you're exposed to light, they are generating tiny bit of acoustic signal, so it's almost like talking. | [886.0s] Luke Mortensen: going to do. | [887.0s] Luke Mortensen: Um, that seems like it could be like a cool way to that. | [889.0s] Brad Smith: Maybe a second bullet point is uh photoacoustic imaging saves the day. | [889.0s] Luke Mortensen: I mean, I just I can't think of very many or any any examples of that, but, you know, it's not my area of expertise, so. | [895.0s] Luke Mortensen: And um I "
Blocks,900.0,1,30,29,False,True,0,speakers<2;no_proposal,"[875.0s] Alexandra Dickinson: Hi. | [875.0s] Brad Smith: Hi. | [875.0s] Carolyn Bayer: Yeah and | [876.0s] Carolyn Bayer: I'll introduce myself real quick. I'm sorry I was running a bit late. | [878.0s] Yevgenia Kozorovitskiy: Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used. | [878.0s] Carolyn Bayer: Um but I'm Carolyn Bayer. | [879.0s] Carolyn Bayer: I'm assuming everyone did introductions and I missed it. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [880.0s] Brad Smith: Yeah, yeah, please. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time. So whenever you're exposed to light, they are generating tiny bit of acoustic signal, so it's almost like talking. | [886.0s] Luke Mortensen: going to do. | [887.0s] Luke Mortensen: Um, that seems like it could be like a cool way to that. | [889.0s] Brad Smith: Maybe a second bullet point is uh photoacoustic imaging saves the day. | [889.0s] Luke Mortensen: I mean, I just I can't think of very many or any any examples of that, but, you know, it's not my area of expertise, so. | [895.0s] Luke Mortensen: And um I think there's more opportunit"
Blocks,905.0,2,43,41,False,True,0,no_proposal,"[880.0s] Brad Smith: Yeah, yeah, please. | [880.0s] Carolyn Bayer: Um I'm Carolyn Bayer. | [881.0s] Brad Smith: modality and problem. | [883.0s] Carolyn Bayer: Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues. | [884.0s] Aniruddha Ray: So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs. So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time. So whenever you're exposed to light, they are generating tiny bit of acoustic signal, so it's almost like talking. | [886.0s] Luke Mortensen: going to do. | [887.0s] Luke Mortensen: Um, that seems like it could be like a cool way to that. | [889.0s] Luke Mortensen: I mean, I just I can't think of very many or any any examples of that, but, you know, it's not my area of expertise, so. | [889.0s] Brad Smith: Maybe a second bullet point is uh photoacoustic imaging saves the day. | [895.0s] Luke Mortensen: Yeah, I mean, you know, I think that um Sishan has some good insight on this too, but like I think like basically that's going to be there's going to be other ways to I think improve your ability to get those photon to create the excitation and to harvest photons. | [895.0s] Luke Mortensen: And um I think there's more opportunity because it's not it's not just reconstructing the PSF where you just have enough of a power density, you're also the pulse duration is becomes very important as well. | [895.0s] Sixian You: I'm definitely further than light sheet. But uh, | [895.0s] Brad Smith: Okay, so we're still sort of uh talking a"
Blocks,926.0,3,63,55,True,False,0,no_commitment,"[904.0s] Brad Smith: Yeah. | [905.0s] Brad Smith: I mean, I understand that problem in sort of in a clinical circumstance that you see a large piece of tissue and then you go in and then you try to do it almost cellular level microscopy. | [911.0s] Brad Smith: What are the challenges, Carolyn? | [911.0s] Brad Smith: Adding then deep tissue on top of that seems a really difficult problem. Um. | [913.0s] Carolyn Bayer: Well, spatial resolution, right? So we're obviously not in the same domain as far as spatial resolution. So um, and then when you start thinking about how to improve spatial resolution, then sensitivity becomes a problem, you know, as you're imaging smaller and smaller objects. | [916.0s] Brad Smith: Uh see Shim. | [917.0s] Sixian You: Hi everyone. My name is Sishan Yo. Uh, I recently started in electric engineering department at MIT. My background is in optics and microscopy. Uh, so, uh, we are very much troubled by deep tissue imaging because uh, we're we're blessed with this submicro resolution but we can rarely go deeper than millimeter uh depth. So what my lab does, uh, we want to tackle this issue and also a lot of other like imaging speed or contrast issue from three aspects. The first aspect is uh, um multiphoton imaging. | [919.0s] Brad Smith: Maybe we we'll we'll put a pin in that one as well. | [926.0s] Carolyn Bayer: Just just to throw an idea out there not to talk about photoacoustics again, but people have tried to take temporal characteristics, right? | [926.0s] Carolyn Bayer: Yeah. | [927.0s] Brad Smith: I think a couple of you are experts at at like fibers or wave guides or things that actually send the light in. Do you want to? | [929.0s] Yevgenia Kozorovitskiy: Uh, but it's slow, you know, it misses neuronal action potentials. It doesn't report hyperpolarization very well unless on a really slow time scale. Uh, it doesn't tell you very much about, you know, not nothing about sub threshold events, which is | [932.0s] Carolyn Bayer: Whe"
Blocks,935.0,2,52,45,True,False,0,no_commitment,"[911.0s] Brad Smith: Adding then deep tissue on top of that seems a really difficult problem. Um. | [911.0s] Brad Smith: What are the challenges, Carolyn? | [913.0s] Carolyn Bayer: Well, spatial resolution, right? So we're obviously not in the same domain as far as spatial resolution. So um, and then when you start thinking about how to improve spatial resolution, then sensitivity becomes a problem, you know, as you're imaging smaller and smaller objects. | [916.0s] Brad Smith: Uh see Shim. | [917.0s] Sixian You: Hi everyone. My name is Sishan Yo. Uh, I recently started in electric engineering department at MIT. My background is in optics and microscopy. Uh, so, uh, we are very much troubled by deep tissue imaging because uh, we're we're blessed with this submicro resolution but we can rarely go deeper than millimeter uh depth. So what my lab does, uh, we want to tackle this issue and also a lot of other like imaging speed or contrast issue from three aspects. The first aspect is uh, um multiphoton imaging. | [919.0s] Brad Smith: Maybe we we'll we'll put a pin in that one as well. | [926.0s] Carolyn Bayer: Yeah. | [926.0s] Carolyn Bayer: Just just to throw an idea out there not to talk about photoacoustics again, but people have tried to take temporal characteristics, right? | [927.0s] Brad Smith: I think a couple of you are experts at at like fibers or wave guides or things that actually send the light in. Do you want to? | [929.0s] Yevgenia Kozorovitskiy: Uh, but it's slow, you know, it misses neuronal action potentials. It doesn't report hyperpolarization very well unless on a really slow time scale. Uh, it doesn't tell you very much about, you know, not nothing about sub threshold events, which is | [932.0s] Carolyn Bayer: Where you have something that's blinking, um, and use that to improve resolution, right? So you can. | [935.0s] Barbara Smith: So what do we do in my lab? We're using um we're using actually clinically and clinical and research tools um to tra"
Blocks,948.0,3,39,29,True,False,0,no_commitment,"[926.0s] Carolyn Bayer: Yeah. | [926.0s] Carolyn Bayer: Just just to throw an idea out there not to talk about photoacoustics again, but people have tried to take temporal characteristics, right? | [927.0s] Brad Smith: I think a couple of you are experts at at like fibers or wave guides or things that actually send the light in. Do you want to? | [929.0s] Yevgenia Kozorovitskiy: Uh, but it's slow, you know, it misses neuronal action potentials. It doesn't report hyperpolarization very well unless on a really slow time scale. Uh, it doesn't tell you very much about, you know, not nothing about sub threshold events, which is | [932.0s] Carolyn Bayer: Where you have something that's blinking, um, and use that to improve resolution, right? So you can. | [935.0s] Barbara Smith: So what do we do in my lab? We're using um we're using actually clinically and clinical and research tools um to translate light and sound. And so we use electrodes as our wave guides to um to send light down, uh target a molecule of interest in the in the deep tissue um that uh might have a some genetic marker. And then um we we can get both sound wave and light wave back up the electrode. | [935.0s] Aniruddha Ray: Right and and depth is, sorry, go ahead. | [936.0s] Brad Smith: Yeah, no it's incredibly. The timer started going. Yes, it is very hard to talk with a clock in front of you, isn't it? It's a thing. It's a Well, thank you very much to everybody. It's uh these sessions are always a little draining when everyone's staring at each other and trying to overcome that flight or fight. | [939.0s] Carolyn Bayer: I would I would love to figure out how to how to bridge that though. | [941.0s] Carolyn Bayer: If your photoacoustic reporter is blinking, then you know, you can use a video and you can parse out the specific location of that thing. So. | [943.0s] Aniruddha Ray: And and depth is also a problem. the deeper you go, the poorer the resolution becomes. | [948.0s] Yevgenia Kozorovitskiy: you k"
Blocks,967.0,1,27,17,False,False,0,speakers<2;no_proposal;no_commitment,"[943.0s] Aniruddha Ray: And and depth is also a problem. the deeper you go, the poorer the resolution becomes. | [948.0s] Yevgenia Kozorovitskiy: you know, everything about how neurons compute is about sub threshold very interesting biophysics and integration across the, you know, unique and neuron type specific uh dendritic trees that they used to collect information with. Um, | [949.0s] Aniruddha Ray: Um, for example with photoacoustic microscopy, it's possible to get down to few tens of uh micron resolution. | [952.0s] Brad Smith: Yes, I suppose there is lifetime imaging. | [955.0s] Brad Smith: Does anybody here work in lifetime imaging? I mean is that is that a technology that would work at a deeper tissue as well? | [956.0s] Aniruddha Ray: Um, or or even a few micron resolution. | [960.0s] Silvia Ronco: . | [962.0s] Aniruddha Ray: Okay, so there was some problem with this. | [966.0s] Brad Smith: You just saved it for you, did it? | [967.0s] Sixian You: How can we uh design different wavefront shaping or post shaping or even light engineering, light generation techniques to enable deeper penetration of the light. Uh, that's one aspect. Uh, so we work on label free imaging technologies and also just uh uh common multiphoton coherent image coherent raming imaging. | [968.0s] Yevgenia Kozorovitskiy: Um, | [969.0s] Brad Smith: Yeah, I think uh um Jean Young's lecture yesterday is really showing a glimpse in the future of just how sophisticated some of these genetic reporters can become. | [971.0s] Aniruddha Ray: I worked on um using photoacoustics to determine the lifetime of dies for oxygen sensing. | [972.0s] Aniruddha Ray: It just got reset. | [979.0s] Barbara Smith: And so all all we need um is all of our um all of our software part uh and then the hardware part that we need is um the laser, uh optical fiber, any of optics that we need and then we um we trans transfer that light down. And we use that both in in research applications and then we also um use that "
Blocks,981.0,1,26,18,False,False,0,speakers<2;no_proposal;no_commitment,"[956.0s] Aniruddha Ray: Um, or or even a few micron resolution. | [960.0s] Silvia Ronco: . | [962.0s] Aniruddha Ray: Okay, so there was some problem with this. | [966.0s] Brad Smith: You just saved it for you, did it? | [967.0s] Sixian You: How can we uh design different wavefront shaping or post shaping or even light engineering, light generation techniques to enable deeper penetration of the light. Uh, that's one aspect. Uh, so we work on label free imaging technologies and also just uh uh common multiphoton coherent image coherent raming imaging. | [968.0s] Yevgenia Kozorovitskiy: Um, | [969.0s] Brad Smith: Yeah, I think uh um Jean Young's lecture yesterday is really showing a glimpse in the future of just how sophisticated some of these genetic reporters can become. | [971.0s] Aniruddha Ray: I worked on um using photoacoustics to determine the lifetime of dies for oxygen sensing. | [972.0s] Aniruddha Ray: It just got reset. | [979.0s] Barbara Smith: And so all all we need um is all of our um all of our software part uh and then the hardware part that we need is um the laser, uh optical fiber, any of optics that we need and then we um we trans transfer that light down. And we use that both in in research applications and then we also um use that in clinical applications. | [981.0s] Aniruddha Ray: Inside tissues. Um, but that was what I did was uh was more of a sensing than imaging. | [987.0s] Carolyn Bayer: Yeah, we kept having this problem in the other meetings and they ended up just putting copy and pasting it over. Yeah. | [989.0s] Brad Smith: Um maybe Carolyn bring you in as we've just sort of been focusing a little bit here on pure fluorescence, but photoacoustic is uh that's one of the | [990.0s] Aniruddha Ray: But it's definitely possible. But then again with photoacoustics your resolution is not as good as optical purely optical methods. | [997.0s] Sixian You: And then the second aspect is how to use optics and algorithms to push it deeper. So instead of "
Blocks,997.0,1,37,27,False,False,0,speakers<2;no_proposal;no_commitment,"[972.0s] Aniruddha Ray: It just got reset. | [979.0s] Barbara Smith: And so all all we need um is all of our um all of our software part uh and then the hardware part that we need is um the laser, uh optical fiber, any of optics that we need and then we um we trans transfer that light down. And we use that both in in research applications and then we also um use that in clinical applications. | [981.0s] Aniruddha Ray: Inside tissues. Um, but that was what I did was uh was more of a sensing than imaging. | [987.0s] Carolyn Bayer: Yeah, we kept having this problem in the other meetings and they ended up just putting copy and pasting it over. Yeah. | [989.0s] Brad Smith: Um maybe Carolyn bring you in as we've just sort of been focusing a little bit here on pure fluorescence, but photoacoustic is uh that's one of the | [990.0s] Aniruddha Ray: But it's definitely possible. But then again with photoacoustics your resolution is not as good as optical purely optical methods. | [997.0s] Sixian You: And then the second aspect is how to use optics and algorithms to push it deeper. So instead of avoid uh multiple scattering photons just getting ballistic photons, how can we use multiple scattering? How can we use deterministic models of multiple scattering to get deeper into the tissue. | [999.0s] Aniruddha Ray: Yeah. | [1000.0s] Brad Smith: There's history. Um, is anyone smart enough to know where the history of this? If you want to reget that text. | [1001.0s] Sixian You: Lifetime. | [1002.0s] Sixian You: measurement is uh is an interesting approach to tackle deep tissue imaging because uh most fluorescence imaging are intensity dependent. So if you go deeper, it's actually not absolute, but lifetime is kind of absolute. So as long as you have enough photons, uh lifetime could be a robust way to go go forward, especially for some metabolic ratio metric imaging. | [1006.0s] Barbara Smith: And so we uh we develop um integrated systems for like pipels uh so for endometrial cance"
Blocks,1020.0,1,26,19,True,True,0,speakers<2,"[997.0s] Sixian You: And then the second aspect is how to use optics and algorithms to push it deeper. So instead of avoid uh multiple scattering photons just getting ballistic photons, how can we use multiple scattering? How can we use deterministic models of multiple scattering to get deeper into the tissue. | [999.0s] Aniruddha Ray: Yeah. | [1000.0s] Brad Smith: There's history. Um, is anyone smart enough to know where the history of this? If you want to reget that text. | [1001.0s] Sixian You: Lifetime. | [1002.0s] Sixian You: measurement is uh is an interesting approach to tackle deep tissue imaging because uh most fluorescence imaging are intensity dependent. So if you go deeper, it's actually not absolute, but lifetime is kind of absolute. So as long as you have enough photons, uh lifetime could be a robust way to go go forward, especially for some metabolic ratio metric imaging. | [1006.0s] Barbara Smith: And so we uh we develop um integrated systems for like pipels uh so for endometrial cancer for instance that um right now they go in blind and um an OBGYN will take out cells um in in throughout the uterus, but it's just a vacuum system that they'll place in and they'll um release a vacuum and then that tube will be removed manually. And so we've integrated like an optical and acoustic system into that so that they can have visual guidance and eyes where they're currently going in blind. And so um how we um re I I would say um reposition the light as we go at a 90 degree angle, we'll we'll place an optical fiber in with um with some kind of redirection. And so we can get um both optics and acoustics coming from the surrounding area so we can look for different different things both endogenous, so like um that hemoglobin and and different kinds of areas where there's increased vasculature um and acoustic information as well and they're also doing transactional ultrasounds. So they're doing acoustic information anyways. Um so we've we've integrated tools into"
