conference,session,sent_time_sec,center_time_sec,burst_id,speaker,sentence,annotations,kw_decision,kw_assign,kw_summarize,kw_agree,decision_any,m_cut,delta_to_center
2021_04_22_MND_S1,2021_04_22_MND_S1,259.0,251.0,2021_04_22_MND_S1_B1,Barbara Bendlin,"Um for I think everybody is aware that we are in the metabolites, metal ions and small molecules um discussion group and we have some probing questions and so this actually might be a good time to choose a facilitator because we're going to uh download the slide deck.","{'propose decision': 'Barbara Bendlin proposes the decision to choose a facilitator for the discussion group, as the group is about to download the slide deck and begin.', 'assign task': 'Barbara Bendlin is implicitly assigning the task of choosing a facilitator to the group.'}",False,True,False,False,True,3,8.0
2021_04_22_MND_S1,2021_04_22_MND_S1,270.0,251.0,2021_04_22_MND_S1_B1,Aida Ebrahimi,"It could be in vitro or in vivo, like in mouse model. So whatever that design is, then we have to have some path to be able to at least that is um one of one of the things that we discussed is in real time monitor level of those small molecules or those biomarkers in real time without the need to kill them or uh slice the tissue or things like that which is really totally different.","{'expand on existing idea': 'Aida is expanding on the idea of using detection techniques, suggesting that they can be applied in vitro or in vivo to monitor biomarkers in real time, building upon the previous discussion about detection methods.', 'provide supporting evidence': ""Aida provides supporting evidence by mentioning the ability to monitor small molecules or biomarkers in real time without disrupting the sample, which aligns with the group's discussion about the need for non-destructive analysis methods.""}",False,False,False,False,False,3,19.0
2021_04_22_MND_S3,2021_04_22_MND_S3,243.0,259.0,2021_04_22_MND_S3_B1,Faranak Fattahi,"that we're just as a field in the process of benchmarking in terms of like figuring out what subtype that we see in vitro corresponds to what subtype in vivo. On the brain though, we have all of these different methods to generate different kinds of cortical neurons, interneurons, like regional different regional identities and um really I don't know what would be the best model to start with when thinking about what receives the primary input from the vagus nerve.","{'explain or define term or concept': 'The speaker is explaining the current state of the field in benchmarking in vitro neurons to in vivo subtypes, providing context for the discussion.', 'ask clarifying question': 'The speaker is asking what would be the best model to start with when thinking about what receives the primary input from the vagus nerve, seeking guidance on the CNS side of the model.'}",False,False,False,False,False,3,-16.0
2021_04_22_MND_S3,2021_04_22_MND_S3,254.0,259.0,2021_04_22_MND_S3_B1,Faranak Fattahi,Really important point. How much how concerned are we with like when we're thinking about in vitro models should that exclusively be focused on human models or could there be some degree of conservation between us and human.,"[{'acknowledge contribution': 'Faronak acknowledges that the previous point made by Xin is important.', 'ask clarifying question': 'Faronak is asking how concerned the team is about focusing exclusively on human models in vitro, or if there could be some conservation between species.'}]",False,False,False,False,False,3,-5.0
2021_04_22_MND_S3,2021_04_22_MND_S3,258.0,259.0,2021_04_22_MND_S3_B1,Sarkis Mazmanian,Are you talking about in vivo?,"{'ask clarifying question': ""Sarkis is asking Will to clarify if he is talking about in vivo, to understand the context of Will's previous statement about metabolites and bacterial communities.""}",False,False,False,False,False,3,-1.0
2021_04_22_MND_S3,2021_04_22_MND_S3,258.0,259.0,2021_04_22_MND_S3_B1,Judith Eisen,"And so, you know, so that's a big a big question, but um the level of self-organization that people are seeing in some places is really impressive. So it seems like I mean you could say oh that you'll certainly fail if you don't try. And so it seems like, you know, if that's if that's uh seems like a a way that could answer whatever particular question you're interested in, why not?","[{'express enthusiasm': ""Judith expresses enthusiasm about the level of self-organization seen in some in vitro models, suggesting it's impressive and worth exploring.""}, {'encourage participation': ""Judith encourages the team to try the experiment, suggesting that it's worth exploring if it could answer their research question.""}]",False,True,False,False,True,3,-1.0
2021_04_22_MND_S3,2021_04_22_MND_S3,260.0,259.0,2021_04_22_MND_S3_B1,Will Ludington,Oh yeah well talking about like if we had a model system uh but like you have like an vivo bacterial community of you know hundreds of species and then you've got you know one that you're interested in you know maybe instead of the baseline being zero versus adding in one.,"{'expand on existing idea': 'Will is expanding on the idea of how to approach modeling bacterial communities, building on the previous discussion about the complexity of in vivo systems and the challenges of culturing diverse microbial communities.', 'propose decision': 'Will proposes a specific approach to manipulating the bacterial community in a model system, suggesting to alter the baseline by adding or subtracting a key metabolite to observe the response.'}",False,False,False,False,False,3,1.0
2021_04_22_MND_S3,2021_04_22_MND_S3,263.0,259.0,2021_04_22_MND_S3_B1,Elaine Hsiao,"I I can add to this a little bit on for the neuropods, I I think um although they're kind of a minority of the um of the interactions from the gut side, I think people um say that it's glutamatergic signaling. So that you would add either glutamate or um what I was trying to get at is if you could skip the transmitter and just mimic the electrical stimulation, just go in and stimulate um somehow that that might make things really easy um or easier.","{'expand on existing idea': 'Elaine expands on the discussion about modeling the vagus nerve, adding details about neuropods and glutamatergic signaling, building on the previous discussion about modeling the ENS to CNS neuronal circuit.', 'propose decision': 'Elaine proposes skipping the transmitter and mimicking electrical stimulation to simplify the modeling of the vagus nerve, suggesting a concrete choice for the group to consider.', 'explain or define term or concept': 'Elaine explains that neuropods are thought to use glutamatergic signaling, clarifying a concept related to the gut-brain interaction.'}",False,False,False,False,False,3,4.0
2021_04_22_MND_S3,2021_04_22_MND_S3,269.0,259.0,2021_04_22_MND_S3_B1,Lisa Osborne,"I think I mean, for all of these it depends on what your question is, right? Every single model that you that we've talked about has a caveat associated with it. And every single model has a strength associated with it. Whether or not it's communication across tissues or the bulk of the metabolites or the bulk of the community.","[{'explain or define term or concept': 'The speaker is explaining that the choice of model depends on the research question, highlighting the caveats and strengths of each model discussed, which is meant to clarify the considerations for model selection.', 'acknowledge contribution': 'The speaker acknowledges the points made about different models and their caveats, without necessarily agreeing or disagreeing with any specific point.'}]",False,False,False,False,False,3,10.0
2021_04_22_MND_S4,2021_04_22_MND_S4,841.0,861.0,2021_04_22_MND_S4_B1,Aida Ebrahimi,Yeah.,"{'express agreement': 'Aida Ebrahimi says ""Yeah"", which expresses agreement with a prior statement or idea.'}",False,False,False,False,False,3,-20.0
2021_04_22_MND_S4,2021_04_22_MND_S4,841.0,861.0,2021_04_22_MND_S4_B1,Barbara Bendlin,I know you're busy taking notes but you can also comment and you know what when we get to 2 o'clock will work together to help you summarize and report out like it's not all going to be on you. I think we report out.,"[{'encourage participation': 'Barbara encourages Claudia to comment, even though she is taking notes, inviting her to contribute to the discussion.'}, {'assign task': 'Barbara assigns the task of summarizing and reporting out to Claudia, but also offers help, indicating a shared responsibility.'}]",False,True,False,False,True,3,-20.0
2021_04_22_MND_S4,2021_04_22_MND_S4,844.0,861.0,2021_04_22_MND_S4_B1,Chris Whidbey,I I part of the reason I asked the question is we've done some work with uh that's good information. But uh some of you already know.,"[{'acknowledge contribution': 'Chris acknowledges that the information being discussed is good, recognizing the value of the input from others.'}]",False,False,False,False,False,3,-17.0
2021_04_22_MND_S4,2021_04_22_MND_S4,847.0,861.0,2021_04_22_MND_S4_B1,Barbara Bendlin,"You can start thinking about it. So that not necessarily this group will be like a final research group, but you know, think about who you met here today and you can reach out to whose research, you know, sounds like it might mesh with some of your ideas and then you'll be able to reach out to one another to form these teams.","{'encourage participation': 'Barbara encourages the participants to think about potential collaborations based on the discussions and connections made during the meeting, inviting them to form teams.', 'propose decision': 'Barbara proposes that the group members consider forming collaborations with each other based on shared research interests discussed during the meeting.'}",False,True,False,False,True,3,-14.0
2021_04_22_MND_S4,2021_04_22_MND_S4,848.0,861.0,2021_04_22_MND_S4_B1,Chris Whidbey,Over connected.,"{'express humor': ""The utterance 'Over connected' is a humorous comment, likely referring to the complexity or interconnectedness of the topics being discussed.""}",False,False,False,False,False,3,-13.0
2021_04_22_MND_S4,2021_04_22_MND_S4,849.0,861.0,2021_04_22_MND_S4_B1,Aida Ebrahimi,That's a very interesting point.,"{'acknowledge contribution': ""Aida acknowledges Ashley's point about the lymphatic system and peripheral immune factors, recognizing its relevance to the discussion.""}",False,False,False,False,False,3,-12.0
2021_04_22_MND_S4,2021_04_22_MND_S4,850.0,861.0,2021_04_22_MND_S4_B1,Richard Wiener,You can take notes as you go along and put them in there or you can take notes on another screen and then transfer the important points in at the end whatever is convenient for you to do.,"{'assign task': 'Richard is assigning Chris the task of taking notes, suggesting flexibility in how they do it, either during the meeting or afterwards.'}",False,True,False,False,True,3,-11.0
2021_04_22_MND_S4,2021_04_22_MND_S4,850.0,861.0,2021_04_22_MND_S4_B1,Ashley Ross,"And it's not just the the BBB in of itself, you know, there's been the recent discovery of the lymphatic system and how, you know, the lymphatic system acts as a conduit for a lot of these peripheral immune factors. Um, you know, as you know, you know, usually we think about the brain and microglia as intrinsic, you know, macrophage of the brain, but we also know that peripheral macrophages, uh, and T cells are also able to cross the BBB. Um, we don't really have the sensitivity to image the BBB except to say like, you know, if I had a giant gleoblastoma, we can tell you that it's ostensibly pretty leaky at that point.","[{'expand on existing idea': ""Ashley is expanding on the discussion of the blood brain barrier (BBB) by introducing the lymphatic system's role as a conduit for peripheral immune factors, building upon the previous discussion of the BBB and immune system interaction.""}, {'provide supporting evidence': 'Ashley provides supporting evidence by mentioning the recent discovery of the lymphatic system and its role as a conduit for peripheral immune factors, as well as the ability of peripheral macrophages and T cells to cross the BBB, to support the idea that the BBB is not the only factor to consider.'}, {'explain or define term or concept': 'Ashley explains the concept of microglia as intrinsic macrophages of the brain, providing context for understanding the role of peripheral macrophages and T cells in crossing the BBB.'}]",False,False,False,False,False,3,-11.0
2021_04_22_MND_S4,2021_04_22_MND_S4,850.0,861.0,2021_04_22_MND_S4_B1,Aida Ebrahimi,I guess.,"{'express humor': 'The speaker says ""I guess"" in response to the previous utterance ""Over connected"", possibly indicating a humorous or sarcastic agreement with the idea of being over-connected.'}",False,False,False,False,False,3,-11.0
2021_04_22_MND_S4,2021_04_22_MND_S4,850.0,861.0,2021_04_22_MND_S4_B1,Chris Whidbey,And um these restricted diets the thing that I keep coming back to of very low levels of uh endogenous short chain fatty acid production like Dr. Brian was just talking about comes up in these types of conversations. And as it turns out is what allows to undergo snap meaning.,"{'expand on existing idea': 'The speaker is expanding on the topic of restricted diets and low levels of short chain fatty acid production, which was previously mentioned by Dr. Brian.', 'provide supporting evidence': 'The speaker is providing evidence by mentioning that the topic of restricted diets and low levels of short chain fatty acid production comes up in these types of conversations.'}",False,False,False,False,False,3,-11.0
2021_04_22_MND_S4,2021_04_22_MND_S4,850.0,861.0,2021_04_22_MND_S4_B1,Aida Ebrahimi,"It could be in vitro or in vivo like mouse model. So whatever that design is, then we have to have some path to be able to at least that is um one of what one of the things that we discussed is in real time monitor level of those small molecules or those biomarkers in real time without the need to kill them or slice the tissue things like that which is really totally different. Of course those approaches are needed as a standard to compare with. But if we want to see in real time what is going on then those sensors can be integrated or embedded in that in vitro or in vivo model. Of course it needs to make sure for being more complex but there are in my opinion that's what I think you have to have access to all those genomics metabolomics all the omics.","[{'expand on existing idea': 'Aida is expanding on the discussion about studying the microbiome and metabolome, suggesting the use of in vitro or in vivo models and the importance of real-time monitoring of small molecules and biomarkers, building upon the previous discussion about different approaches to studying the system.', 'provide supporting evidence': 'Aida supports her idea by mentioning the need for access to genomics, metabolomics, and other omics data, which are necessary for a comprehensive understanding of the system, providing evidence for the importance of her suggestion.', 'present new idea': 'Aida presents the idea of using sensors integrated or embedded in in vitro or in vivo models for real-time monitoring of small molecules or biomarkers, which is a novel approach to studying the microbiome and metabolome.'}]",False,False,False,False,False,3,-11.0
2021_04_22_MND_S4,2021_04_22_MND_S4,855.0,861.0,2021_04_22_MND_S4_B1,Erin Longbrake,"So, uh I don't know, you know, sort of a dictionary like that. There are people that have been contributing more.","{'expand on existing idea': 'Erin is expanding on the idea of a dictionary of dominant bacteria and metabolites, which was previously mentioned, by noting that people have been contributing to it.'}",False,False,False,False,False,3,-6.0
2021_04_22_MND_S4,2021_04_22_MND_S4,859.0,861.0,2021_04_22_MND_S4_B1,Chris Whidbey,I'm probably going to take notes by hand because I'm analog like that.,"{'express humor': 'Chris makes a humorous comment about taking notes by hand because he is ""analog"", which is a lighthearted remark.'}",False,False,False,False,False,3,-2.0
2021_04_22_MND_S4,2021_04_22_MND_S4,863.0,861.0,2021_04_22_MND_S4_B1,Yanjiao Zhou,"Yeah, there are definitely established for those who haven't contributed as much.","{'encourage participation': ""This utterance encourages participation from those who haven't contributed as much, inviting them to share their thoughts and expertise.""}",False,False,False,False,False,3,2.0
2021_04_22_MND_S4,2021_04_22_MND_S4,865.0,861.0,2021_04_22_MND_S4_B1,Richard Wiener,All right.,"{'acknowledge contribution': ""Richard acknowledges Chris's statement about taking notes by hand, but does not agree or expand on it.""}",False,False,False,False,False,3,4.0
2021_04_22_MND_S4,2021_04_22_MND_S4,866.0,861.0,2021_04_22_MND_S4_B1,Barbara Bendlin,Okay. There there's some panels at the bottom of my screen. Oh these these might be observers.,"{'explain or define term or concept': 'Barbara is clarifying who the people are at the bottom of her screen, suggesting they might be observers, which explains their presence in the meeting.'}",False,False,False,True,True,3,5.0
2021_04_22_MND_S4,2021_04_22_MND_S4,866.0,861.0,2021_04_22_MND_S4_B1,Chris Whidbey,So it seems like exist or can be developed but you'd have to know what you're trying to do that first step. Um so that seems like that's kind of one bottleneck is dealing with all of the unknown,"{'explain or define term or concept': 'The utterance explains that a bottleneck in the process is dealing with the unknown, implying that identifying what to measure is a crucial first step.', 'present new idea': 'The utterance presents the idea that detection methods exist or can be developed, suggesting a potential avenue for addressing the challenge of the unknown.'}",False,False,False,False,False,3,5.0
2021_04_22_MND_S4,2021_04_22_MND_S4,868.0,861.0,2021_04_22_MND_S4_B1,Shikha Nangia,"Yeah, I think trying to see within the group if there is some some correlation around the topic that we can think of. I totally agree that a bigger group is also.","[{'express agreement': 'Shikha expresses agreement with a prior statement, indicating alignment with the ongoing discussion.'}]",False,False,False,False,False,3,7.0
2021_04_22_MND_S4,2021_04_22_MND_S4,869.0,861.0,2021_04_22_MND_S4_B1,Ashley Ross,I'm wondering.,"{'encourage participation': 'Ashley Ross is encouraging participation from others by expressing that she is wondering something, inviting others to respond.'}",False,False,False,False,False,3,8.0
2021_04_22_MND_S4,2021_04_22_MND_S4,870.0,861.0,2021_04_22_MND_S4_B1,Yanjiao Zhou,"Oh, I'm thinking about like a global.","{'present new idea': ""Yanjiao Zhou is introducing a new idea about a global perspective, which hasn't been explicitly discussed before in this specific way.""}",False,False,False,False,False,3,9.0
2021_04_22_MND_S4,2021_04_22_MND_S4,871.0,861.0,2021_04_22_MND_S4_B1,Chris Whidbey,Anyone else?,{'encourage participation': 'Chris Whidbey is explicitly inviting others to contribute to the discussion.'},False,False,False,False,False,3,10.0
2021_04_22_MND_S4,2021_04_22_MND_S4,872.0,861.0,2021_04_22_MND_S4_B1,Ashley Ross,"I I'm wondering, you know, there's been a lot of work done I was just just doing a pub med search on on organ on a chip, right? I'm wondering like do we should we reduce it, right? If we really want to understand the the role of reproductive microbiome, like should we make like a you know, reproductive system on a chip, you know, an ovary, a fallopian tube and the and understand the bacterial organ communication. I don't know, maybe I'm those I know we have my colleague who's on here, he's in lab. I don't know much about details, so yeah.","[{'present new idea': ""Ashley introduces a novel concept of creating a reproductive system on a chip to understand bacterial organ communication, which hasn't been discussed before.""}, {'propose decision': 'Ashley suggests creating a reproductive system on a chip to better understand the role of the reproductive microbiome.'}]",True,False,False,False,True,3,11.0
2021_04_22_MND_S4,2021_04_22_MND_S4,876.0,861.0,2021_04_22_MND_S4_B1,Richard Wiener,Those those folks are just observing the conversations you guys can get going on.,"{'explain or define term or concept': ""Richard is clarifying the role of the people in the panels at the bottom of Barbara's screen, explaining that they are observers.""}",False,False,False,False,False,3,15.0
2021_04_22_MND_S4,2021_04_22_MND_S4,879.0,861.0,2021_04_22_MND_S4_B1,Barbara Bendlin,Okay great.,"{'express agreement': 'Barbara Bendlin expresses agreement with the previous turn, indicating a positive acknowledgement of the situation.'}",False,False,False,True,True,3,18.0
2021_04_22_MND_S4,2021_04_22_MND_S4,879.0,861.0,2021_04_22_MND_S4_B1,Alda Ebrahimi,So my expertise we work on developing sensors and diagnostics to for example let's say if we know or we have some hypothesis and then we can work on building a sensor or a platform to monitor in real time.,"{'explain or define term or concept': 'Alda is explaining her expertise in developing sensors and diagnostics, clarifying the type of work she does.', 'present new idea': 'Alda introduces the idea of developing sensors and diagnostics to monitor in real time, which is a new concept in the conversation.'}",True,False,False,False,True,3,18.0
2021_04_22_MND_S5,2021_04_22_MND_S5,837.0,857.0,2021_04_22_MND_S5_B1,Jae Sung Kim,"So, you have a question about that. How, you know, how leaky is the blood brain barrier? I mean, I you know, I've been taught that it's very, you know, unpenetrable, but obviously small molecules and pharmaceutical drugs can leak in, right?","{'ask clarifying question': 'Jae Sung Kim is asking a clarifying question about the permeability of the blood-brain barrier, building on the previous discussion about small molecules crossing it.', 'explain or define term or concept': 'Jae Sung Kim explains the concept of the blood brain barrier and its permeability, contrasting the common understanding of it being impenetrable with the reality that small molecules and drugs can cross it.'}",False,False,False,False,False,3,-20.0
2021_04_22_MND_S5,2021_04_22_MND_S5,837.0,857.0,2021_04_22_MND_S5_B1,Unknown speaker,Thank you.,{'acknowledge contribution': 'The speaker is verbally recognizing the contributions of others in the conversation by saying thank you.'},False,False,False,False,False,3,-20.0
2021_04_22_MND_S5,2021_04_22_MND_S5,838.0,857.0,2021_04_22_MND_S5_B1,Unknown speaker,And thank you Joe for taking the notes and presenting. Yes.,"[{'acknowledge contribution': ""The speaker is verbally recognizing Joel's contribution of taking notes and presenting, without necessarily agreeing or expanding on any specific point.""}]",False,False,False,True,True,3,-19.0
2021_04_22_MND_S5,2021_04_22_MND_S5,842.0,857.0,2021_04_22_MND_S5_B1,Jiali Ping,Anybody study the super chiasmatic nucleus here? Oh!,"[{'ask clarifying question': 'The speaker is asking if anyone present has studied the superchiasmatic nucleus, seeking to gather information about expertise within the group.'}, {'express enthusiasm': ""The speaker expresses enthusiasm with an 'Oh!', possibly indicating excitement or interest in the topic of the superchiasmatic nucleus.""}]",False,False,False,False,False,3,-15.0
2021_04_22_MND_S5,2021_04_22_MND_S5,843.0,857.0,2021_04_22_MND_S5_B1,Joel Bornstein,Is this device small enough that uh one can carry it around with them?,"{'ask clarifying question': ""Joel asks if the device is small enough to be carried around, seeking clarification on the device's portability after William described his lab's work on adaptive deep brain stimulation treatments for Parkinson's patients.""}",False,False,False,False,False,3,-14.0
2021_04_22_MND_S5,2021_04_22_MND_S5,843.0,857.0,2021_04_22_MND_S5_B1,Unknown speaker,Yeah.,"[{'express agreement': 'The speaker is expressing agreement with a prior statement, though the specific statement is not clear from this single utterance.'}]",False,False,False,False,False,3,-14.0
2021_04_22_MND_S5,2021_04_22_MND_S5,844.0,857.0,2021_04_22_MND_S5_B1,William Zuberbierg,"Yeah, so basically we've just our software um modifies the existing implantable controller for the Metronic RC2 devices. So it's a little battery pack that sits on the chest, you know, wires run under the skin that connect to the implanted um electrode.","{'explain or define term or concept': 'The speaker is explaining the components and placement of the device used in their deep brain stimulation treatment, clarifying what the software modifies and how it connects to the patient.', 'expand on existing idea': 'The speaker is elaborating on the device they mentioned earlier, providing more details about its components and how it works.'}",False,False,False,False,False,3,-13.0
2021_04_22_MND_S5,2021_04_22_MND_S5,844.0,857.0,2021_04_22_MND_S5_B1,Carl Bryan Agee,It's called what?,"{'ask clarifying question': 'Carl is asking for clarification on the name of the subfolder in the Google Drive that contains key resources, after Joel mentioned it.'}",False,False,False,False,False,3,-13.0
2021_04_22_MND_S5,2021_04_22_MND_S5,844.0,857.0,2021_04_22_MND_S5_B1,Unknown speaker,Thanks.,"[{'acknowledge contribution': 'The speaker is verbally recognizing the contribution of someone, likely Joel, for taking notes and presenting, without necessarily agreeing or expanding on any specific idea.'}]",False,False,False,False,False,3,-13.0
2021_04_22_MND_S5,2021_04_22_MND_S5,845.0,857.0,2021_04_22_MND_S5_B1,Joel Weizman,"Uh, crowd sourced resources.",{'None': 'This utterance does not fit any of the codes in the codebook.'},False,False,False,False,False,3,-12.0
2021_04_22_MND_S5,2021_04_22_MND_S5,845.0,857.0,2021_04_22_MND_S5_B1,Unknown speaker,Thank you.,[{'acknowledge contribution': 'The speaker is verbally recognizing the contributions of others in the conversation.'}],False,False,False,False,False,3,-12.0
2021_04_22_MND_S5,2021_04_22_MND_S5,846.0,857.0,2021_04_22_MND_S5_B1,Joel Weizman,"Or resources, crowd parenthesis crowd source.","{'explain or define term or concept': 'Joel is clarifying the name of the folder in the Google Drive, which is a resource for the community.'}",False,False,False,False,False,3,-11.0
2021_04_22_MND_S5,2021_04_22_MND_S5,846.0,857.0,2021_04_22_MND_S5_B1,Carl Bryan Bates,"You're welcome. I I was a little concerned it was not in depth enough. I was not sure what the audience was going to be like and I hope it wasn't too simplistic, but so I just decided on one theme. If you can see the impact of the gut on the brain then","[{'express concern': 'Carl expresses concern that his summary was not in-depth enough, showing worry about the quality of his contribution.'}]",True,False,False,False,True,3,-11.0
2021_04_22_MND_S5,2021_04_22_MND_S5,848.0,857.0,2021_04_22_MND_S5_B1,John,Yes.,"[{'express agreement': 'The speaker is agreeing with a previous statement about the circadian circuitry being another system to consider, indicating agreement.'}]",False,False,False,True,True,3,-9.0
2021_04_22_MND_S5,2021_04_22_MND_S5,848.0,857.0,2021_04_22_MND_S5_B1,Carl Bryan Agee,"Okay, got it.","{'acknowledge contribution': 'The utterance acknowledges the information provided about the location of the crowd-sourced resources folder, showing that Carl Bryan Agee understood the information.'}",False,False,False,True,True,3,-9.0
2021_04_22_MND_S5,2021_04_22_MND_S5,851.0,857.0,2021_04_22_MND_S5_B1,Leanne Joan Dube,Writing a grant right now.,"{'present new idea': 'The participant is introducing the idea of circadian circuitry as another system to consider, building on the discussion of the gut-brain axis and other mediating organs.'}",False,False,False,False,False,3,-6.0
