conference,session,speaker,sent_time_sec,sentence,annotations,rx_decision,rx_assign,rx_summarize,decision_any
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Joyce Jose,933.6907894736842,So is it receptor new receptor identifying or something uh after going in it's targeting some other signaling cascade or uh something like that.,"[{'present new idea': 'The speaker introduces the idea of focusing on intervention strategies by understanding pathogen differences, mutations, and adaptation mechanisms to new hosts, which is a novel suggestion in the context of the discussion.'}, {'expand on existing idea': 'The speaker expands on the idea of understanding pathogen adaptation by suggesting specific molecular mechanisms like receptor identification or targeting signaling cascades, building upon the general discussion of genetics and biochemistry.'}, {'propose decision': 'The speaker proposes that the group should focus on identifying new targets by using genetic tools to manipulate virus genomes and observe the effects, suggesting a direction for future research.'}]",True,False,False,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Kristin Koutmou,948.8,Are is there anything yeah that we discussed that is not on there?,"[{'ask clarifying question': 'Kristin is asking if there are any topics that the group discussed that are not currently included in the notes, seeking to ensure a comprehensive summary of the discussion.'}]",False,False,True,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Joyce Jose,946.3322368421052,"To understand that you have to have proper genetic tools to manipulate the virus genomes and you know, instead of see what happens and and then uh identify new targets and that's where it should be we should be going with.","[{'present new idea': 'The speaker introduces the idea of focusing on intervention strategies by understanding pathogen differences, mutations, and adaptation mechanisms to new hosts, which is a novel suggestion in the context of the discussion.'}, {'expand on existing idea': 'The speaker expands on the idea of understanding pathogen adaptation by suggesting specific molecular mechanisms like receptor identification or targeting signaling cascades, building upon the general discussion of genetics and biochemistry.'}, {'propose decision': 'The speaker proposes that the group should focus on identifying new targets by using genetic tools to manipulate virus genomes and observe the effects, suggesting a direction for future research.'}]",True,False,False,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Wilfred van der Donk,1059.3636363636365,"Um so Kristen, can you share the screen then and uh and share with all of us the notes you have taken and then everybody",{'assign task': 'Wilfred is assigning the task of sharing the screen and notes to Kristen.'},False,True,False,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Brenda Rubenstein,903.5200421940928,"So you know, what are molecular markers that we should be looking for that could be easily sampled um and and used in surveillance tasks.","[{'present new idea': 'Brenda introduces a new idea about general means of pathogen detection for surveillance, shifting the focus from specific host-pathogen interactions to broader detection methods, which is a novel concept in the discussion.'}]",True,False,False,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Kristin Koutmou,1081.8235294117649,"All right, so I I think the first thing we need or the thing that I would be be most useful for me to get your help with is to figure out which one of these we actually want to share out because we had a lot of ideas, but I think we should maybe prioritize when we share out.","[{'propose decision': 'Kristin suggests prioritizing which ideas to share out, framing it as a decision for the group to make, building on the previous discussion about various ideas and technologies.'}]",True,False,False,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Wilfred van der Donk,1016.0,"And William, can you go next and then we will","{'encourage participation': ""Wilfred is explicitly asking William to contribute to the discussion, following up on Kristin's question about genetics and biochemistry.""}",True,True,False,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Wilfred van der Donk,917.7752808988764,And then they bend them and they put them together in in in the way they have.,"{'explain or define term or concept': 'He is explaining how the resource corporation came up with the prompts.', 'assign task': 'He is assigning Kristen the task of reporting to the entire group about what they talked about.'}",False,True,False,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Kristin Koutmou,945.25,Okay.,"[{'ask clarifying question': 'Kristin is asking if there are any topics that the group discussed that are not currently included in the notes, seeking to ensure a comprehensive summary of the discussion.'}]",False,False,True,True
2021_10_01_MZT_S11,2021_10_01_MZT_S11,Wilfred van der Donk,960.7772020725388,We still have two people to go to answer Kristen's question and then we will ask Kristen to share the screen so make sure we have the right thing.,"[{'assign task': ""Wilfred assigns the task of answering Kristen's question to two more people before asking Kristen to share her screen.""}, {'encourage participation': ""Wilfred is encouraging Dana to participate by answering Kristen's question.""}]",True,True,False,True
