token,kind,hit_in,hit_out,base_in,base_out,rate_in_per_1000,rate_out_per_1000,ratio_in_out,min_participants
decision,ann,6,3691,174,38129,34.48275862068965,96.80295837813738,0.35621595867592043,6
encourage,ann,45,4905,174,38129,258.62068965517244,128.64224081407852,2.010387008322843,6
assign task,ann,15,1656,174,38129,86.20689655172414,43.431508825303574,1.9848929701588993,6
agree,ann,13,4743,174,38129,74.71264367816093,124.39350625508143,0.6006153048323479,6
consensus,ann,0,18,174,38129,0.0,0.4720816176663432,2.118277773290677e-09,6
explain,ann,43,10180,174,38129,247.1264367816092,266.9883815468541,0.9256074565863274,6
question,ann,47,8994,174,38129,270.11494252873564,235.8834482939495,1.1451203739907303,6
rx_decision,rx,23,4857,174,38129,132.183908045977,127.3833565003016,1.0376858616190283,6
rx_assign,rx,18,2086,174,38129,103.44827586206897,54.70901413622177,1.8908817403216012,6
rx_summarize,rx,9,1994,174,38129,51.724137931034484,52.29615253481602,0.9890620136272974,6
rx_agree,rx,16,5843,174,38129,91.95402298850574,153.24293844580242,0.6000539008290237,6
present new idea,ann,28,8084,124,38179,225.80645161290323,211.73943791089343,1.0664354918513725,7
explain or define,ann,37,9489,124,38179,298.38709677419354,248.53977317373423,1.2005607511575802,7
summarize discussion,ann,4,11,124,38179,32.25806451612903,0.288116503837188,111.96187644771604,7
action item,ann,0,4,124,38179,0.0,0.10476963775897745,9.544749908897749e-09,7
agreement,ann,9,4010,124,38179,72.58064516129033,105.0315618533749,0.6910365216021694,7
expand on existing idea,ann,55,13980,124,38179,443.5483870967742,366.16988396762616,1.2113185887667866,7
define,ann,38,9824,124,38179,306.4516129032258,257.31423033604864,1.190962553850261,7
new idea,ann,29,8144,124,38179,233.87096774193546,213.3109824772781,1.0963850291522192,7
decision,ann,5,3692,124,38179,40.32258064516129,96.70237565153617,0.4169761122626956,7
encourage,ann,36,4914,124,38179,290.32258064516134,128.70949998690378,2.2556422072453555,7
assign task,ann,13,1658,124,38179,104.83870967741936,43.42701485109615,2.414135764004948,7
agree,ann,10,4746,124,38179,80.64516129032258,124.30917520102675,0.6487466525319503,7
consensus,ann,0,18,124,38179,0.0,0.47146336991539856,2.121055551056679e-09,7
explain,ann,39,10184,124,38179,314.51612903225805,266.7434977343566,1.1790957669202418,7
question,ann,33,9008,124,38179,266.1290322580645,235.9412242332172,1.1279463057921582,7
rx_decision,rx,16,4864,124,38179,129.03225806451613,127.39987951491658,1.012813030560171,7
rx_assign,rx,15,2089,124,38179,120.96774193548387,54.71594331962597,2.210831699046726,7
rx_summarize,rx,7,1996,124,38179,56.45161290322581,52.28004924172975,1.0797926498142343,7
rx_agree,rx,11,5848,124,38179,88.70967741935485,153.17321040362503,0.5791461652205226,7
