conference,session,speaker,timestamp,speaking_duration,nods_others,smile_self,smile_other,distracted_others,hand_gesture,interruption,overlap,screenshare,annotations,transcript,has_new_idea,has_explanation,has_decision,global_session,clip_number,start_sec,end_sec,clip_duration_sec,clip_offset_sec,start_sec_adjusted,end_sec_adjusted,start_minute_adjusted,transcript_clean
2021MND,2021_04_22_MND_S5,Stephanie M Goggin,[00:28-00:28],1.0,0,100.0,0.0,0,,No,No,No,"{'express agreement': ""Stephanie agrees with Joel's question about whether she does proteomics.""}",Yeah.,False,False,False,2021MND_2021_04_22_MND,5.0,,,600.0,1803.0,,,,yeah.
2021MND,2021_04_22_MND_S5,Liang Song,[08:07-08:07],0.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': 'Liang Song says ""Yeah"" in response to Joel Bryan Bornstein\'s statement, indicating agreement.'}",Yeah.,False,False,False,2021MND_2021_04_22_MND,5.0,,,600.0,1803.0,,,,yeah.
2021MND,2021_04_22_MND_S5,Jeff Levenson,[03:34-03:35],1.0,0,0.0,0.0,0,,No,No,Yes,{'express agreement': 'The speaker is explicitly agreeing with the previous statement about principal component analysis not revealing the identity of the components.'},"Right, right.",False,False,False,2021MND_2021_04_22_MND,5.0,,,600.0,1803.0,,,,"right, right."
2021MND,2021_04_22_MND_S5,Gillian Zuberberg,[06:14-06:15],1.0,0,0.0,0.0,0,,No,No,Yes,[{'None': 'None'}],So,False,False,False,2021MND_2021_04_22_MND,5.0,,,600.0,1803.0,,,,so
2021MND,2021_04_22_MND_S5,David Bryman,[08:12-08:13],1.0,0,0.0,0.0,0,,No,No,Yes,"{'acknowledge contribution': 'The speaker is acknowledging a prior contribution, but not agreeing or expanding on it; it is a simple acknowledgement after a long discussion.'}",Okay.,False,False,False,2021MND_2021_04_22_MND,5.0,,,600.0,1803.0,,,,okay.
2021MND,2021_04_22_MND_S5,Wingjin Zhang,01:33-01:34,1.0,0,0.0,0.0,0,,No,No,Yes,{'express agreement': 'The speaker is explicitly agreeing with the previous statement about the stability of the microbiome over time after age three or four.'},"Oh, okay.",False,False,False,2021MND_2021_04_22_MND,5.0,93.0,94.0,600.0,1803.0,1896.0,1897.0,31.6,"oh, okay."
2021MND,2021_04_22_MND_S5,John,04:08-04:08,0.0,0,0.0,0.0,0,,No,No,Yes,"[{'express agreement': 'The speaker is agreeing with a previous statement about the circadian circuitry being another system to consider, indicating agreement.'}]",Yes.,False,False,False,2021MND_2021_04_22_MND,5.0,248.0,248.0,600.0,1803.0,2051.0,2051.0,34.18333333333333,yes.
2021MND,2021_04_22_MND_S5,Leanne Joan Dube,05:00-05:00,0.0,0,0.0,0.0,0,,No,No,Yes,"{'express agreement': ""Leanne is agreeing with Jeff's question about whether bacteria have intrinsic biological clocks.""}",Mhm.,False,False,False,2021MND_2021_04_22_MND,5.0,300.0,300.0,600.0,1803.0,2103.0,2103.0,35.05,mhm.
2021MND,2021_04_22_MND_S5,Sarah McEachran,06:25-06:25,0.0,0,0.0,0.0,0,,No,No,Yes,{'express agreement': 'The speaker is agreeing with the previous statement about inflammation potentially affecting how the gut works.'},Yeah.,False,False,False,2021MND_2021_04_22_MND,5.0,385.0,385.0,600.0,1803.0,2188.0,2188.0,36.46666666666667,yeah.
2021MND,2021_04_22_MND_S5,Jeff Bryan Kottkamp,06:26-06:26,0.0,0,0.0,0.0,0,,No,No,Yes,"{'acknowledge contribution': ""Jeff acknowledges Sarah's contribution to the discussion.""}",Thank you.,False,False,False,2021MND_2021_04_22_MND,5.0,386.0,386.0,600.0,1803.0,2189.0,2189.0,36.483333333333334,thank you.
2021MND,2021_04_22_MND_S5,Jae Hwan Song,08:58-09:00,2.0,0,0.0,0.0,0,,No,No,Yes,[{'express agreement': 'The speaker is agreeing with the previous statement about the dynamic nature of the microbiome at the strain level.'}],Yeah.,False,False,False,2021MND_2021_04_22_MND,5.0,538.0,540.0,600.0,1803.0,2341.0,2343.0,39.016666666666666,yeah.
2021MND,2021_04_22_MND_S5,William Zuckerberg,01:20-01:24,4.0,0,60.0,0.0,0,,No,No,Yes,[{'acknowledge contribution': 'William acknowledges the question asked by Carl about summarizing the discussion.'}],"Uh, not really. Thank you for asking.",False,False,False,2021MND_2021_04_22_MND,5.0,80.0,84.0,600.0,1803.0,1883.0,1887.0,31.383333333333333,"uh, not really. thank you for asking."
2021MND,2021_04_22_MND_S5,Unknown speaker,03:57-03:58,1.0,0,0.0,0.0,0,,No,Yes,Yes,{'acknowledge contribution': 'The speaker is verbally recognizing the contributions of others in the conversation by saying thank you.'},Thank you.,False,False,False,2021MND_2021_04_22_MND,5.0,237.0,238.0,600.0,1803.0,2040.0,2041.0,34.0,thank you.
2021MND,2021_04_22_MND_S5,Unknown speaker,04:03-04:04,1.0,0,0.0,0.0,0,,No,No,Yes,"[{'express agreement': 'The speaker is expressing agreement with a prior statement, though the specific statement is not clear from this single utterance.'}]",Yeah.,False,False,False,2021MND_2021_04_22_MND,5.0,243.0,244.0,600.0,1803.0,2046.0,2047.0,34.1,yeah.
2021MND,2021_04_22_MND_S5,Unknown speaker,04:04-04:05,1.0,0,0.0,0.0,0,,No,No,Yes,"[{'acknowledge contribution': 'The speaker is verbally recognizing the contribution of someone, likely Joel, for taking notes and presenting, without necessarily agreeing or expanding on any specific idea.'}]",Thanks.,False,False,False,2021MND_2021_04_22_MND,5.0,244.0,245.0,600.0,1803.0,2047.0,2048.0,34.11666666666667,thanks.
2021MND,2021_04_22_MND_S5,Unknown speaker,04:05-04:05,0.0,0,0.0,0.0,0,,No,No,Yes,[{'acknowledge contribution': 'The speaker is verbally recognizing the contributions of others in the conversation.'}],Thank you.,False,False,False,2021MND_2021_04_22_MND,5.0,245.0,245.0,600.0,1803.0,2048.0,2048.0,34.13333333333333,thank you.
2021MND,2021_04_22_MND_S4,Michael Burton,02:23-02:24,1.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""Michael Burton acknowledges the previous speaker's contribution after they finished speaking.""}",Thanks.,False,False,False,2021MND_2021_04_22_MND,4.0,143.0,144.0,600.0,1203.0,1346.0,1347.0,22.433333333333334,thanks.
2021MND,2021_04_22_MND_S4,Richard Wiener,04:26-04:27,1.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""Richard acknowledges Chris's statement about taking notes by hand, but does not agree or expand on it.""}",All right.,False,False,False,2021MND_2021_04_22_MND,4.0,266.0,267.0,600.0,1203.0,1469.0,1470.0,24.483333333333334,all right.
2021MND,2021_04_22_MND_S4,Richard Wiener,05:00-05:01,1.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""Richard Wiener expresses agreement with Alda Ebrahimi's statement about developing sensors and diagnostics.""}",Oh yeah.,False,False,False,2021MND_2021_04_22_MND,4.0,300.0,301.0,600.0,1203.0,1503.0,1504.0,25.05,oh yeah.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""The utterance 'Okay' acknowledges the previous speaker's contribution, Richard Wiener, without expressing agreement or disagreement.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""The utterance 'Okay' acknowledges the previous turn in the conversation, signaling that Alda Ebrahimi has heard and understood the previous speaker.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Barbara Bendlin,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': 'Barbara Bendlin says ""Okay"" after Alda Ebrahimi describes her expertise, acknowledging Alda\'s contribution without necessarily agreeing or expanding on it.'}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Richard Wiener,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""Richard acknowledges Alda's contribution after she describes her expertise in developing sensors and diagnostics.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not contain any information that can be categorized by the codebook.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""The utterance 'Okay' acknowledges the previous speaker's contribution, signaling understanding and a transition in the conversation.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': 'The utterance ""Okay"" acknowledges the previous speaker\'s contribution, signaling understanding and a transition in the conversation.'}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""The utterance 'Okay' acknowledges the previous speaker's contribution, signaling understanding and a transition in the conversation.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is just an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit any of the codes in the codebook.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is simply an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is simply an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"[{'acknowledge contribution': ""The utterance 'Okay' acknowledges the previous speaker's contribution, signaling understanding and a transition in the conversation.""}]",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit any of the codes in the codebook.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is simply an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is simply an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is just an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is a simple acknowledgement without any specific content related to the discussion.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is simply an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""The utterance 'Okay' acknowledges the previous speaker's contribution, signaling understanding or agreement without adding new information or expanding on the idea.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not contain information that can be categorized by the codebook.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not contain information that can be categorized by the codebook.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is simply an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance does not fit into any of the defined codes as it is simply an acknowledgement.'},Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Alda Ebrahimi,05:01-05:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""The utterance 'Okay' acknowledges the previous speaker's contribution without expressing agreement or disagreement.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,4.0,301.0,301.0,600.0,1203.0,1504.0,1504.0,25.066666666666666,okay.
2021MND,2021_04_22_MND_S4,Barbara Bendlin,00:56-00:57,1.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""Barbara agrees with botB1's suggestion to share their screen so everyone can see the notes they are typing.""}",Sure.,False,False,False,2021MND_2021_04_22_MND,4.0,56.0,57.0,600.0,1203.0,1259.0,1260.0,20.983333333333334,sure.
2021MND,2021_04_22_MND_S4,botB1,00:57-00:57,0.0,0,0.0,0.0,0,,No,No,No,{'express enthusiasm': 'The speaker expresses enthusiasm after Barbara Bendlin agrees to let them share their screen.'},Cool.,False,False,False,2021MND_2021_04_22_MND,4.0,57.0,57.0,600.0,1203.0,1260.0,1260.0,21.0,cool.
2021MND,2021_04_22_MND_S4,Ashley Ross,03:40-03:40,0.0,0,0.0,0.0,0,,No,No,No,{'None': 'This utterance is a simple greeting and does not fit into any of the defined codes.'},Hi.,False,False,False,2021MND_2021_04_22_MND,4.0,220.0,220.0,600.0,1203.0,1423.0,1423.0,23.716666666666665,hi.
2021MND,2021_04_22_MND_S4,Shikha Nangia,03:40-03:41,1.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': 'Shikha Nangia agrees with a previous statement or suggestion, as indicated by her saying ""Sure.""'}",Sure.,False,False,False,2021MND_2021_04_22_MND,4.0,220.0,221.0,600.0,1203.0,1423.0,1424.0,23.716666666666665,sure.
2021MND,2021_04_22_MND_S4,Aida Ebrahimi,04:02-04:02,0.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': 'Aida Ebrahimi says ""Yeah"", which expresses agreement with a prior statement or idea.'}",Yeah.,False,False,False,2021MND_2021_04_22_MND,4.0,242.0,242.0,600.0,1203.0,1445.0,1445.0,24.083333333333332,yeah.
2021MND,2021_04_22_MND_S4,Amina Schartup,05:00-05:00,0.0,0,0.0,0.0,0,,No,No,No,"{'reject idea': 'The utterance ""No"" rejects a prior idea or suggestion without offering an alternative.'}",No.,False,False,False,2021MND_2021_04_22_MND,4.0,300.0,300.0,600.0,1203.0,1503.0,1503.0,25.05,no.
2021MND,2021_04_22_MND_S4,Chris Whidbey,07:32-07:32,0.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""Chris Whidbey says 'Right', which expresses agreement with the previous statement.""}",Right.,False,False,False,2021MND_2021_04_22_MND,4.0,452.0,452.0,600.0,1203.0,1655.0,1655.0,27.583333333333332,right.
2021MND,2021_04_22_MND_S4,Yanjiao Zhou,07:37-07:37,0.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""The speaker says 'Yeah', which expresses agreement with a prior statement or idea.""}",Yeah.,False,False,False,2021MND_2021_04_22_MND,4.0,457.0,457.0,600.0,1203.0,1660.0,1660.0,27.666666666666668,yeah.
2021MND,2021_04_22_MND_S4,Chris Whidbey,07:37-07:37,0.0,0,0.0,0.0,0,,No,No,No,"{'None': 'This utterance does not express any new ideas, agreements, tasks, or decisions, nor does it ask questions or provide explanations; it seems to be a continuation of a previous thought that is not fully expressed.'}",Of the gut.,False,False,True,2021MND_2021_04_22_MND,4.0,457.0,457.0,600.0,1203.0,1660.0,1660.0,27.666666666666668,of the gut.
2021MND,2021_04_22_MND_S4,Yanjiao Zhou,07:37-07:37,0.0,0,0.0,0.0,0,,No,No,No,"[{'acknowledge contribution': 'The utterance ""Of the gut"" acknowledges the previous speaker\'s point about the gut microbiome, without necessarily agreeing or expanding on it.'}]",Of the gut.,False,False,False,2021MND_2021_04_22_MND,4.0,457.0,457.0,600.0,1203.0,1660.0,1660.0,27.666666666666668,of the gut.
2021MND,2021_04_22_MND_S4,Chris Whidbey,07:37-07:37,0.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""Chris Whidbey says 'Yes', which indicates agreement with a prior statement or question.""}",Yes.,False,False,False,2021MND_2021_04_22_MND,4.0,457.0,457.0,600.0,1203.0,1660.0,1660.0,27.666666666666668,yes.
2021MND,2021_04_22_MND_S4,Yanjiao Zhou,07:37-07:37,0.0,0,0.0,0.0,0,,No,No,No,"[{'express agreement': ""The utterance 'Yes' expresses agreement with a prior statement or idea.""}]",Yes.,False,False,False,2021MND_2021_04_22_MND,4.0,457.0,457.0,600.0,1203.0,1660.0,1660.0,27.666666666666668,yes.
2021MND,2021_04_22_MND_S4,Flavio Frohlich,[04:11-04:12],1.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""The speaker acknowledges the previous question as a great one, showing recognition of the other person's input.""}",That's a great question.,False,False,False,2021MND_2021_04_22_MND,4.0,,,600.0,1203.0,,,,that's a great question.
2021MND,2021_04_22_MND_S4,Shikha Nangia,[04:12-05:07],55.0,0,0.0,0.0,0,Open Palms,No,No,No,"[{'express agreement': 'Shikha explicitly agrees with a previous statement by saying ""I agree with you.""'}, {'expand on existing idea': 'Shikha builds on the previous discussion about the gut microbiome by suggesting a specific experiment involving introducing specific microbiota species and increasing complexity to see how metabolites are affected.'}]","I agree with you. I guess that particular species of bacteria might help colonize. And then you can progressively increase the complexity of the microbiota that is introduced. And see how the metabolite uh big data approach. I know from other colleagues that I work with that there's synergy in some species with each other and there's one species that's more dominant. So if you start drawing those diagrams, when you have these two species overlapping each other, then you have the high dimensional system, things things actually work a little bit differently. So for example, you know, we train our neural nets for object recognition.",False,False,False,2021MND_2021_04_22_MND,4.0,,,600.0,1203.0,,,,"i agree with you. i guess that particular species of bacteria might help colonize. and then you can progressively increase the complexity of the microbiota that is introduced. and see how the metabolite uh big data approach. i know from other colleagues that i work with that there's synergy in some species with each other and there's one species that's more dominant. so if you start drawing those diagrams, when you have these two species overlapping each other, then you have the high dimensional system, things things actually work a little bit differently. so for example, you know, we train our neural nets for object recognition."
2021MND,2021_04_22_MND_S4,Shikha Nangia,[07:04-07:55],51.0,0,0.0,0.0,0,,No,No,No,"[{'express agreement': 'Shikha explicitly agrees with a previous statement.', 'expand on existing idea': 'Shikha builds on the previous discussion about the gut microbiome and its effects by suggesting how specific bacteria species might help colonize and how the complexity of the microbiota can be progressively increased.', 'present new idea': 'Shikha introduces the idea of drawing diagrams to represent the interactions between different bacteria species and how they overlap, suggesting this approach could reveal how things work differently in a high-dimensional system.', 'provide supporting evidence': 'Shikha provides an example of training neural nets for object recognition to support the idea that things work differently in high-dimensional systems.'}]","I agree with you. I guess that particular species of bacteria might help colonize. And then you can progressively increase the complexity of the microbiota that is introduced. And see how the metabolite uh big data approach. I know from other colleagues that I work with that there's synergy in some species with each other and there's one species that's more dominant. So if you start drawing those diagrams, when you have these two species overlapping each other, then you have the high dimensional system, things things actually work a little bit differently. So for example, you know, we train our neural nets for object recognition.",True,False,False,2021MND_2021_04_22_MND,4.0,,,600.0,1203.0,,,,"i agree with you. i guess that particular species of bacteria might help colonize. and then you can progressively increase the complexity of the microbiota that is introduced. and see how the metabolite uh big data approach. i know from other colleagues that i work with that there's synergy in some species with each other and there's one species that's more dominant. so if you start drawing those diagrams, when you have these two species overlapping each other, then you have the high dimensional system, things things actually work a little bit differently. so for example, you know, we train our neural nets for object recognition."
2021MND,2021_04_22_MND_S4,Chris Whidbey,04:32-04:33,1.0,0,0.0,0.0,0,,No,No,No,{'encourage participation': 'Chris Whidbey is explicitly inviting others to contribute to the discussion.'},Anyone else?,False,False,False,2021MND_2021_04_22_MND,4.0,272.0,273.0,600.0,1203.0,1475.0,1476.0,24.583333333333332,anyone else?
