conference,session,center_time_sec,sent_time_sec,speaker,sentence
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1009.0,Wilfred van der Donk,"Anyway, I I will let others talk about the viruses."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1010.8316912972084,Wilfred van der Donk,Uh maybe this is a good time to think what technologies are we missing?
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1011.4481012658229,Dana Mitzel,So like a more broad based novel intervention that yeah up in the sky type of thing.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1012.6448467966574,Wilfred van der Donk,It's fine that you have heard a lot of people speak language that I have I understand.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1016.0,Wilfred van der Donk,"And William, can you go next and then we will"
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1016.7067137809188,Dana Mitzel,"So I I will say uh with the viral and with at least the databases, the only thing I know is you'd have to go mind um the literature that's out there for specifically what you're looking for."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1018.3174114021572,Kristin Koutmou,I just wanted to let people know about that that's something we're working on and have evidence um for example the SARS RDR RDRP um complex being reconstituted in vitro really seeing massive changes in um in how it functions.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1018.4901477832512,Wilfred van der Donk,Are there any technologies that for these problems or for this in this space would be really uh enabling.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1022.158774373259,Wilfred van der Donk,Uh because that's how you forge uh bonds and start doing things that NIH or NSF or USDA otherwise wouldn't fund.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1025.732323232323,William Witola,"Yeah, uh so what I'm interested in is uh you know, um we've of course in my lab we've identified certain molecules that make uh certain hosts more resistant to pathogens than others."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1026.6456086286594,Kristin Koutmou,Um anyway.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1031.8489326765189,Wilfred van der Donk,Is there anything?
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1032.1911764705883,Wilfred van der Donk,"Okay, we have about 30 seconds left."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1033.6666666666663,Joyce Jose,Um to actually uh we believe that if you test it in cell culture that's easier first to identify inhibitors or um specifically protease inhibitors or polymerase inhibitors etc.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1034.0682926829268,Danae Schulz,So like change the amino acid that gets placed there and so is that a mechanism by which
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1034.1433823529412,Wilfred van der Donk,This was uh great guys.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1034.6678445229682,Dana Mitzel,Um Ebola is a big one.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1035.7651888341543,Wilfred van der Donk,I mean we already talked about the difficulty to mine current databases.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1037.485294117647,Wilfred van der Donk,I'm not going to engage in this fight of chats as to which group was the best.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1042.6272084805655,Dana Mitzel,"You know, there's very few changes between something like Reston and a little and a more virulent one and they've tried to make all these changes and they haven't been able to associate it with uh the differences in pathogenesis that they see."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1043.375,Wilfred van der Donk,Uh you guys were the best and we don't need anybody other people to uh to to uh to fight about that.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1044.732323232323,William Witola,So I I would like to see if we can develop uh memetics of those molecules and then introduce them in the host and see if they can actually activate the same mechanisms that make the resistant host resist infection.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1047.0,Kristin Koutmou,"Yeah, so in bacteria can as well."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1047.7757352941176,Wilfred van der Donk,So I'll see you in the main room.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1047.9490968801313,Wilfred van der Donk,We already talked about that with respect to anything uh with respect to uh epigenetics of the host uh we often don't have the data uh and and and when we do have the data uh you usually generate it yourself.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1048.9338235294117,Wilfred van der Donk,Uh
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1049.325,Danae Schulz,"Great, sorry."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1049.5,William Witola,Goodbye.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1050.325,Danae Schulz,Maybe I'm misunderstanding.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1050.5,Joyce Jose,Thank you so much.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1051.5,Danae Schulz,Thank you.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1051.5,Danae Schulz,It seems like you're saying that the host machinery is is the one making the change it like
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1052.5,Danae Schulz,They're using host machinery.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1054.0,Danae Schulz,"And so then if we targeted that, couldn't that mess up the host?"
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1054.220848056537,Dana Mitzel,So I do agree with William that with that it's probably a lot of the host and the epigenetics and just the genetics can play an important role.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1055.3636363636365,Wilfred van der Donk,Interesting.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1055.5,Kristin Koutmou,"Not maybe, maybe not."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1058.088,Kristin Koutmou,Because there's also a lot of cross talk between them.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1059.3636363636365,Wilfred van der Donk,"Um so Kristen, can you share the screen then and uh and share with all of us the notes you have taken and then everybody"
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1060.9493333333332,Kristin Koutmou,It's it's messed up.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1064.989247311828,Kristin Koutmou,"Yes, and it's a hot mess right now, so we're going to go through and pull."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1065.6666666666667,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1067.489247311828,Kristin Koutmou,So we're Excellent.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1069.118374558304,Dana Mitzel,"Um, but you know with West Nile as it passed through the United States and have changed and even now with SARS CO2, um, you know, they they see the changes in the mutants, they're doing the sequencing and they're they're trying to correlate it to other stuff, but um, so for me it it can be very dependent, but it's a very difficult aspect to determine."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,1069.9973333333332,Kristin Koutmou,"So any enzyme the machinery, right, the mechanism tends to be conserved, but how they target their individual their you know, the the targeting domains tend not to be so well conserved um between different species."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1193.0347826086957,1184.6347826086956,Joyce Jose,That's actually cool system to look for.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1193.0347826086957,1193.0347826086957,Joyce Jose,Like we know that methylation is important for some of these viruses and then their packaging etc.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,665.4638783269962,Wilfred van der Donk,But does everybody see the PowerPoint slide right now?
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,666.6360392506691,Cheryl Andam,Sing um different lineages and strains of bacterial species that can are more successful in colonizing different range of hosts.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,668.1558935361217,Wilfred van der Donk,Yeah.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,669.5048859934853,Dana Mitzel,"Um but I really don't know how much they've related it to some things, you know, they're just it is still kind of some big data stuff that's going out there, but I do know there is a couple papers and I think some of it has to do like with dengue and things like that."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,669.7072243346007,Wilfred van der Donk,"Okay, so just like yesterday."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,670.071599045346,William Witola,That's when they are babies in the womb.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,670.4836683417086,Dana Mitzel,"GTP, they're actually trying to use GTPases as a target for cancer."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,673.9049429657795,Wilfred van der Donk,So I actually wasn't there this morning because I was teaching.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,675.2931937172775,Dana Mitzel,"But that was just like one of the questions that had popped up yesterday as well and it could play a role in, you know, could this be a way for it to jump or for it to be a super spreader or anything like that."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,677.8781407035176,Dana Mitzel,Well GTPases are really important for virus replication because they're important they rearrange the the actin and the side of skeleton which the virus
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,677.9221360381862,William Witola,"So if they are infected during that time, they are born with severe infection like brain damage, eye damage and often, you know, they don't live long."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,678.3719892952721,Cheryl Andam,"So some would be, you know, more host restricted, some would have broad host range, but all of these within a single species."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,679.425855513308,Wilfred van der Donk,Uh but uh yesterday we took a minute to think about these.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,680.6205211726385,Dana Mitzel,Um but unfortunately I don't have more information on it.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,683.8973384030418,Wilfred van der Donk,We don't have to stick to these prompts.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,684.5,Joyce Jose,Yeah.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,684.9683377308706,Wilfred van der Donk,I think if there's something that I've heard to in today's discussion compared to previous discussions is how much we we don't know and how much we need and how hard this is.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,685.7850162866449,Dana Mitzel,I just know that is an area where there's a little bit more studies that are coming out on it.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,687.3562231759657,Dana Mitzel,"So but the thing is, but they're very conserved."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,689.0781622911694,William Witola,"Then there are those who get infected while in the womb, but you know, they are born normally, but they have a parasite."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,689.2813688212927,Wilfred van der Donk,We can talk about anything that has to do with genetics and with biochemistry.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,691.5,Wilfred van der Donk,"Any other topics, thoughts, questions for each other?"
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,692.1129261363636,Brenda Rubenstein,"That was it was also interesting the question that Dana hit it to to some degree um of you know, whether we should so so right now we we vaccinate people for example based upon you know, blunt characteristics that that have to do with with BMI and age and things like that."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,692.4138054363377,Dana Mitzel,They're very conserved different than between the million species and there's they're also fairly conserved in the insects as well.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,693.4014272970562,Cheryl Andam,"So I would be very interested in to find out more about what are the um uh different um genetic variants that make these different strains, different lineages more successful in certain host species."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,695.1933174224343,William Witola,It doesn't cause any damage.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,697.9683377308708,Wilfred van der Donk,"Uh that doesn't make it less important, but I think it's fine to to express our view that maybe people in other groups that that would have different opinions, but we can only discuss what we talked about."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,698.361216730038,Wilfred van der Donk,"Uh and again, uh since this is now the third breakout session, uh you know that uh just it's a free wheeling environment."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,699.407816229117,William Witola,"So what we did then, we observed where there was generational differences."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,684.5,701.7707182320443,Kristin Koutmou,I guess I'm kind of curious what everybody would most like to know in terms of genetics and biochemistry.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,927.0,Joyce Jose,"and then we can see them how they go together because we have fluorescently tagged the envelope protein or replication protein and we know organel markers to and see where they go, when they stop going, when you inhibit these and we have used inhibitors to see these um in I mean, I didn't think anybody was going to talk about cell biology, but that's what we do in a regular basis and I actually can when you use inhibitors, you can see them"
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,929.8370786516854,Wilfred van der Donk,Kristen does have to report to the entire group about what we talked about with respect to biochemistry and genetics.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,930.0,Kristin Koutmou,"Sure, so innate immune response."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,931.7312030075188,Wilfred van der Donk,But are there are there databases there either for the parasites or for
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,932.0,Kristin Koutmou,Seems reasonable.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,933.6907894736842,Joyce Jose,So is it receptor new receptor identifying or something uh after going in it's targeting some other signaling cascade or uh something like that.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,934.5,Wilfred van der Donk,"Yeah, go ahead, Kristen."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,935.2562366357804,William Witola,So it's basically dependent on how does the pathogen invade the host and how does it uh protect itself from the host.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,935.5,William Witola,Yeah.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,940.071770334928,William Witola,So the the kind of data we used was not that we got samples and sequenced these individuals.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,942.5277777777776,Danae Schulz,"Sorry, I was muted."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,943.5277777777778,Danae Schulz,"Yes, that's fine."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,944.5588235294118,Joyce Jose,"you know, virus replication stopping or where is budding stopping for example for Zika virus."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,945.25,Kristin Koutmou,Okay.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,946.3322368421052,Joyce Jose,"To understand that you have to have proper genetic tools to manipulate the virus genomes and you know, instead of see what happens and and then uh identify new targets and that's where it should be we should be going with."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,948.8,Kristin Koutmou,Are is there anything yeah that we discussed that is not on there?
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,950.6507483962936,William Witola,"So if if it those path if a group of pathogens that are completely different but they have similar characteristics, the host do have pretty much the same mechanism of attacking whether it's a virus, bacteria or a parasite or whatever it is."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,950.9593301435408,William Witola,"So we just went into a database that was created for some other purposes, but we were able to identify those individuals and then analyze their sequences."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,954.5588235294116,Joyce Jose,"Um yeah, that's a tool that we can use to study these things to pinpoint exactly when and where they stop um in"
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,955.119170984456,Wilfred van der Donk,"Yeah, we get our 10 minutes warning."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,957.05,Kristin Koutmou,"And did we want to include um the environmentally yeah, because I think we talked about that a bit."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,960.7772020725388,Wilfred van der Donk,We still have two people to go to answer Kristen's question and then we will ask Kristen to share the screen so make sure we have the right thing.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,965.3359013867488,Kristin Koutmou,So there is something that I I just kind of wanted to posit to the group that I've my lab has recently started working on and I'm extremely excited about um this idea and I think it could really be important um potentially when we start to think about mutations and host virus and host parasite interactions and all those sorts of things and that's this discovery of modifications in RNA viruses and the realization that modifications actually can play a role in fine tuning um the translational control of bacterial parasites and I'm super excited particularly in the context of RNA viruses for trying to understand how these modifications um impact the transcription and replication fidelity and speeds of RNA viruses because you could see that as a mechanism for rapidly um incorporating mutations and in terms of it interacting with the host machinery.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,965.3875598086124,William Witola,So there there are actually data deposists that people can use to it all depends on what you want to do and how it correlates to the populations that you want to deal with.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,965.6580310880828,Wilfred van der Donk,So uh Dana.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,965.7479108635096,Wilfred van der Donk,And you may said that this was a biochemically driven driven view on genetics.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,946.3322368421052,965.9234693877552,Joyce Jose,in along with pull down studies and mass spectrometry.
